# ----------------------------------------
# View user engagement & retention overview
# Account: Clear Day Bath Solutions
# Property: Clear Day Bath Solutions
# ----------------------------------------
#  
# Start date: 20260101
# End date: 20260913
Nth week,Active users
0017,64
0018,55
0019,53
0020,163
0021,127
0022,141
0023,330
0024,187
0025,219
0026,1570
0027,6036
0028,5352
0029,3057
0030,3399
0031,3218
0032,529
0033,782
0034,782
0035,896
0036,668

# Start date: 20260101
# End date: 20260913
Nth week,New users
0017,64
0018,51
0019,50
0020,156
0021,121
0022,134
0023,325
0024,182
0025,206
0026,1541
0027,6073
0028,5319
0029,3009
0030,3363
0031,3181
0032,513
0033,763
0034,766
0035,869
0036,643

# Where do your new users come from?
# Start date: 20260101
# End date: 20260913
First user primary channel group (Default Channel Group),New users
Paid Search,19965
Organic Social,5685
Direct,1197
Cross-network,230
Paid Other,113
Organic Search,107
Referral,25
Paid Social,7

#  
# Start date: 20260101
# End date: 20260913
Page title and screen class,Views
Bathroom Remodel Washington DC Metro Area - Clear Day Bath Solutions,24647
Home - Clear Day Bath Solutions,8043
Bathroom Remodeling Washington DC - Clear Day Bath Solutions,701
"Clear Day Bath Solutions Photo Gallery | Clear Day Bath Solutions in Woodbridge, VA | Clear Day Bath Solutions",103
Contact Clear Day Bath Solutions | Professional,100
"About Clear Day Bath Solutions | Clear Day Bath Solutions in Woodbridge, VA | Clear Day Bath Solutions",99
"Woodbridge, VA Bathrooms | Bathrooms | Clear Day Bath Solutions",71
"Woodbridge, VA Shower Remodel | Shower Remodelers | Clear Day Bath Solutions",68
"Woodbridge, VA Bath Conversions | Bath Conversion Installers | Clear Day Bath Solutions",57
"Thank You Woodbridge, VA | Clear Day Bath Solutions",55
"Reviews Clear Day Bath Solutions | Customer Reviews for Clear Day Bath Solutions in Woodbridge, VA | Clear Day Bath Solutions",53
"Clear Day Bath Solutions Blog | Clear Day Bath Solutions in Woodbridge, VA | Clear Day Bath Solutions",49
Terms and Conditions - Clear Day Bath Solutions,49
"Get Your Free Quote | Woodbridge, VA | Clear Day Bath Solutions",42
Bathroom Renovation Washington DC | Clear Day Bath Solutions,41
Privacy Policy - Clear Day Bath Solutions,41
